price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,promotion_check,id,specials
6.04,3.05,estrella galicia receta original cerveza rubia pack 6 botella 33 cl edición especial 110 aniversario,No promotion,estrella galicia,botella,33 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201605/06/00118602202618____1__40x40.jpg,El Corte Ingles,no,527,others
1.04,2.08,estrella galicia cerveza rubia especial lata 50 cl ,No promotion,estrella galicia,lata,50 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201809/11/00118600301206____2__40x40.jpg,El Corte Ingles,no,528,others
3.06,2.04,estrella galicia cerveza rubia especial mini pack 6 lata 25 cl ,No promotion,estrella galicia,lata,25 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201407/21/00118600301230____1__40x40.jpg,El Corte Ingles,no,529,others
3.29,2.74,estrella galicia mini cerveza rubia especial pack 6 botellas 20 cl ,No promotion,estrella galicia,botella,20 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201809/11/00118602201909____2__40x40.jpg,El Corte Ingles,no,530,others
6.25,3.16,estrella galicia estrella de navidad cerveza rubia tipo lager de invierno pack 6 botellas 33 cl ,No promotion,estrella galicia,botella,33 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202010/30/00118602203467____1__40x40.jpg,El Corte Ingles,no,531,others
0.83,83.0,estrella galicia cerveza rubia sin gluten botella 33 cl ,No promotion,estrella galicia sin gluten,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202009/16/00118651000145____1__40x40.jpg,El Corte Ingles,no,532,sin gluten 
12.83,2.14,estrella galicia cerveza rubia especial pack 24 botellas 25 cl ,No promotion,estrella galicia,botella,25 cl,24,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202002/24/00118602202956____3__40x40.jpg,El Corte Ingles,no,533,others
11.89,3.0,1906 cerveza rubia reserva especial pack 12 botellas 33 cl ,No promotion,estrella galicia 1906,botella,33 cl,12,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202004/01/00118602700272____5__40x40.jpg,El Corte Ingles,no,534,others
0.82,2.48,1906 cerveza rubia reserva especial lata 33 cl ,No promotion,estrella galicia 1906,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202005/28/00118602700090____4__40x40.jpg,El Corte Ingles,no,535,others
6.0,3.03,1906 cerveza rubia reserva especial pack 6 botellas 33 cl ,No promotion,estrella galicia 1906,botella,33 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202004/01/00118602800254____4__40x40.jpg,El Corte Ingles,no,536,others
5.85,2.95,1906 red vintage la colorada cerveza rubia reserva especial pack 6 botellas 33 cl ,No promotion,estrella galicia 1906 red,botella,33 cl,6,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202005/28/00118602202238____2__40x40.jpg,El Corte Ingles,no,537,others
0.91,2.76,1906 red vintage la colorada cerveza rubia reserva especial lata 33 cl ,No promotion,estrella galicia 1906 red,lata,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202010/17/00118602700280____1__325x325.jpg,El Corte Ingles,no,538,others
